,Unnamed: 0,LOCATION,TIME,Turkey_inflation_rate,index,time_close,ETH_closing_price,yfit,xfit
0,0.0,TUR,2016-10-01,7.159431,0.0,2016-10-31 00:00:00+00:00,9.9355,,
1,1.0,TUR,2016-11-01,7.000521000000001,1.0,2016-11-30 00:00:00+00:00,7.975550000000001,,
2,2.0,TUR,2016-12-01,8.533056,2.0,2016-12-31 00:00:00+00:00,6.7098933333333335,,
3,3.0,TUR,2017-01-01,9.218773,3.0,2017-01-31 00:00:00+00:00,8.442843333333334,,
4,4.0,TUR,2017-02-01,10.12829,4.0,2017-02-28 00:00:00+00:00,10.676926666666667,,
5,5.0,TUR,2017-03-01,11.29179,5.0,2017-03-31 00:00:00+00:00,29.256236666666666,,
6,6.0,TUR,2017-04-01,11.86962,6.0,2017-04-30 00:00:00+00:00,43.29828666666666,,
7,7.0,TUR,2017-05-01,11.72218,7.0,2017-05-31 00:00:00+00:00,91.30842333333334,,
8,8.0,TUR,2017-06-01,10.90108,8.0,2017-06-30 00:00:00+00:00,234.96738,,
9,9.0,TUR,2017-07-01,9.788379,9.0,2017-07-31 00:00:00+00:00,163.49625333333333,,
10,10.0,TUR,2017-08-01,10.6793,10.0,2017-08-31 00:00:00+00:00,227.66631,,
11,11.0,TUR,2017-09-01,11.1985,11.0,2017-09-30 00:00:00+00:00,207.005,,
12,12.0,TUR,2017-10-01,11.89886,12.0,2017-10-31 00:00:00+00:00,222.31,,
13,13.0,TUR,2017-11-01,12.98426,13.0,2017-11-30 00:00:00+00:00,230.16333333333333,,
14,14.0,TUR,2017-12-01,11.91974,14.0,2017-12-31 00:00:00+00:00,386.3966666666667,,
15,15.0,TUR,2018-01-01,10.34563,15.0,2018-01-31 00:00:00+00:00,662.9466666666667,,
16,16.0,TUR,2018-02-01,10.25913,16.0,2018-02-28 00:00:00+00:00,545.8333333333334,,
17,17.0,TUR,2018-03-01,10.23457,17.0,2018-03-31 00:00:00+00:00,460.3433333333333,,
18,18.0,TUR,2018-04-01,10.84953,18.0,2018-04-30 00:00:00+00:00,360.1166666666666,,
19,19.0,TUR,2018-05-01,12.14707,19.0,2018-05-31 00:00:00+00:00,507.7866666666667,,
20,20.0,TUR,2018-06-01,15.38511,20.0,2018-06-30 00:00:00+00:00,392.6,,
21,21.0,TUR,2018-07-01,15.84902,21.0,2018-07-31 00:00:00+00:00,346.5,,
22,22.0,TUR,2018-08-01,17.89643,22.0,2018-08-31 00:00:00+00:00,254.245,,
