,Unnamed: 0,LOCATION,TIME,USA_unemployment_rate,index,time_close,ETH_closing_price,yfit,xfit
0,0.0,USA,2016-10-01,4.9,0.0,2016-10-31 00:00:00+00:00,9.9355,,
1,1.0,USA,2016-11-01,4.7,1.0,2016-11-30 00:00:00+00:00,7.975550000000001,,
2,2.0,USA,2016-12-01,4.7,2.0,2016-12-31 00:00:00+00:00,6.7098933333333335,,
3,3.0,USA,2017-01-01,4.7,3.0,2017-01-31 00:00:00+00:00,8.442843333333334,,
4,4.0,USA,2017-02-01,4.6,4.0,2017-02-28 00:00:00+00:00,10.676926666666667,,
5,5.0,USA,2017-03-01,4.4,5.0,2017-03-31 00:00:00+00:00,29.256236666666666,,
6,6.0,USA,2017-04-01,4.5,6.0,2017-04-30 00:00:00+00:00,43.29828666666666,,
7,7.0,USA,2017-05-01,4.4,7.0,2017-05-31 00:00:00+00:00,91.30842333333334,,
8,8.0,USA,2017-06-01,4.3,8.0,2017-06-30 00:00:00+00:00,234.96738,,
9,9.0,USA,2017-07-01,4.3,9.0,2017-07-31 00:00:00+00:00,163.49625333333333,,
10,10.0,USA,2017-08-01,4.4,10.0,2017-08-31 00:00:00+00:00,227.66631,,
11,11.0,USA,2017-09-01,4.2,11.0,2017-09-30 00:00:00+00:00,207.005,,
12,12.0,USA,2017-10-01,4.1,12.0,2017-10-31 00:00:00+00:00,222.31,,
13,13.0,USA,2017-11-01,4.2,13.0,2017-11-30 00:00:00+00:00,230.16333333333333,,
14,14.0,USA,2017-12-01,4.1,14.0,2017-12-31 00:00:00+00:00,386.3966666666667,,
15,15.0,USA,2018-01-01,4.0,15.0,2018-01-31 00:00:00+00:00,662.9466666666667,,
16,16.0,USA,2018-02-01,4.1,16.0,2018-02-28 00:00:00+00:00,545.8333333333334,,
17,17.0,USA,2018-03-01,4.0,17.0,2018-03-31 00:00:00+00:00,460.3433333333333,,
18,18.0,USA,2018-04-01,4.0,18.0,2018-04-30 00:00:00+00:00,360.1166666666666,,
19,19.0,USA,2018-05-01,3.8,19.0,2018-05-31 00:00:00+00:00,507.7866666666667,,
20,20.0,USA,2018-06-01,4.0,20.0,2018-06-30 00:00:00+00:00,392.6,,
21,21.0,USA,2018-07-01,3.8,21.0,2018-07-31 00:00:00+00:00,346.5,,
22,22.0,USA,2018-08-01,3.8,22.0,2018-08-31 00:00:00+00:00,254.245,,
23,23.0,USA,2018-09-01,3.7,23.0,2018-09-30 00:00:00+00:00,166.27666666666667,,
24,24.0,USA,2018-10-01,3.8,24.0,2018-10-31 00:00:00+00:00,161.92333333333337,,
25,25.0,USA,2018-11-01,3.8,25.0,2018-11-30 00:00:00+00:00,122.71999999999998,,
26,26.0,USA,2018-12-01,3.9,26.0,2018-12-31 00:00:00+00:00,87.06,,
27,27.0,USA,2019-01-01,4.0,27.0,2019-01-31 00:00:00+00:00,98.96333333333332,,
28,28.0,USA,2019-02-01,3.8,28.0,2019-02-28 00:00:00+00:00,94.64333333333332,,
29,29.0,USA,2019-03-01,3.8,29.0,2019-03-31 00:00:00+00:00,106.64666666666666,,
30,30.0,USA,2019-04-01,3.7,30.0,2019-04-30 00:00:00+00:00,130.43666666666667,,
31,31.0,USA,2019-05-01,3.7,31.0,2019-05-31 00:00:00+00:00,176.73,,
32,32.0,USA,2019-06-01,3.6,32.0,2019-06-30 00:00:00+00:00,215.48333333333332,,
33,33.0,USA,2019-07-01,3.6,33.0,2019-07-31 00:00:00+00:00,194.21666666666667,,
34,34.0,USA,2019-08-01,3.7,34.0,2019-08-31 00:00:00+00:00,164.23333333333338,,
35,35.0,USA,2019-09-01,3.5,35.0,2019-09-30 00:00:00+00:00,143.96666666666667,,
36,36.0,USA,2019-10-01,3.6,36.0,2019-10-31 00:00:00+00:00,142.31,,
37,37.0,USA,2019-11-01,3.6,37.0,2019-11-30 00:00:00+00:00,132.51000000000002,,
38,38.0,USA,2019-12-01,3.6,38.0,2019-12-31 00:00:00+00:00,105.66666666666669,,
39,39.0,USA,2020-01-01,3.5,39.0,2020-01-31 00:00:00+00:00,112.54666666666668,,
40,40.0,USA,2020-02-01,3.5,40.0,2020-02-29 00:00:00+00:00,184.6433333333333,,
41,41.0,USA,2020-03-01,4.4,41.0,2020-03-31 00:00:00+00:00,134.61666666666667,,
42,42.0,USA,2020-04-01,14.8,42.0,2020-04-30 00:00:00+00:00,130.20000000000002,,
43,43.0,USA,2020-05-01,13.3,43.0,2020-05-31 00:00:00+00:00,165.96,,
44,44.0,USA,2020-06-01,11.1,44.0,2020-06-30 00:00:00+00:00,188.9633333333333,,
45,45.0,USA,2020-07-01,10.2,45.0,2020-07-31 00:00:00+00:00,208.805,,
46,46.0,USA,2020-08-01,8.4,46.0,2020-08-31 00:00:00+00:00,313.6033333333333,,
47,47.0,USA,2020-09-01,7.8,47.0,2020-09-30 00:00:00+00:00,283.5833333333333,,
48,48.0,USA,2020-10-01,6.9,48.0,2020-10-31 00:00:00+00:00,291.2966666666667,,
49,49.0,USA,2020-11-01,6.7,49.0,2020-11-30 00:00:00+00:00,370.77333333333337,,
50,50.0,USA,2020-12-01,6.7,50.0,2020-12-31 00:00:00+00:00,481.10666666666674,,
51,51.0,USA,2021-01-01,6.3,51.0,2021-01-31 00:00:00+00:00,908.4066666666665,,
52,52.0,USA,2021-02-01,6.2,52.0,2021-02-28 00:00:00+00:00,1186.0933333333335,,
53,53.0,USA,2021-03-01,6.0,53.0,2021-03-31 00:00:00+00:00,1279.45,,
54,54.0,USA,2021-04-01,6.1,54.0,2021-04-30 00:00:00+00:00,1684.03,,
55,55.0,USA,2021-05-01,5.8,55.0,2021-05-31 00:00:00+00:00,2251.036666666667,,
56,56.0,USA,2021-06-01,5.9,56.0,2021-06-30 00:00:00+00:00,1643.5866666666668,,
57,57.0,USA,2021-07-01,5.4,57.0,2021-07-31 00:00:00+00:00,1519.46,,
58,58.0,USA,2021-08-01,5.2,58.0,2021-08-31 00:00:00+00:00,2253.7966666666666,,
59,59.0,USA,2021-09-01,4.8,59.0,2021-09-30 00:00:00+00:00,2480.56,,
60,60.0,USA,2021-10-01,4.6,60.0,2021-10-31 00:00:00+00:00,2729.0533333333333,,
61,61.0,USA,2021-11-01,4.2,61.0,2021-11-30 00:00:00+00:00,3360.0066666666667,,
0,,,,,,,,4.743991429645716,6.7098933333333335
1,,,,,,,,4.749356241621209,10.066546760093427
2,,,,,,,,4.7547053633392835,13.42320018685352
3,,,,,,,,4.760038805507026,16.779853613613614
4,,,,,,,,4.765356578831522,20.136507040373708
5,,,,,,,,4.770658694019856,23.4931604671338
6,,,,,,,,4.775945161779115,26.849813893893895
7,,,,,,,,4.781215992816383,30.20646732065399
8,,,,,,,,4.786471197838748,33.56312074741408
9,,,,,,,,4.791710787553293,36.91977417417418
10,,,,,,,,4.796934772667105,40.27642760093427
11,,,,,,,,4.802143163887269,43.63308102769437
12,,,,,,,,4.807335971920871,46.98973445445446
13,,,,,,,,4.812513207474997,50.34638788121455
14,,,,,,,,4.817674881256731,53.703041307974644
15,,,,,,,,4.82282100397316,57.05969473473474
16,,,,,,,,4.82795158633137,60.41634816149483
17,,,,,,,,4.833066639038444,63.77300158825492
18,,,,,,,,4.83816617280147,67.12965501501502
19,,,,,,,,4.843250198327533,70.48630844177512
20,,,,,,,,4.848318726323718,73.84296186853521
21,,,,,,,,4.853371767497112,77.1996152952953
22,,,,,,,,4.8584093325548,80.55626872205539
23,,,,,,,,4.863431432203866,83.91292214881548
24,,,,,,,,4.868438077151397,87.26957557557557
25,,,,,,,,4.873429278104478,90.62622900233566
26,,,,,,,,4.8784050457701955,93.98288242909575
27,,,,,,,,4.8833653908556345,97.33953585585587
28,,,,,,,,4.88831032406788,100.69618928261596
29,,,,,,,,4.893239856114018,104.05284270937605
30,,,,,,,,4.898153997701135,107.40949613613614
31,,,,,,,,4.903052759536315,110.76614956289623
32,,,,,,,,4.907936152326646,114.12280298965632
33,,,,,,,,4.91280418677921,117.47945641641641
34,,,,,,,,4.917656873601096,120.8361098431765
35,,,,,,,,4.922494223499387,124.19276326993662
36,,,,,,,,4.927316247181171,127.54941669669671
37,,,,,,,,4.932122955353531,130.9060701234568
38,,,,,,,,4.936914358723555,134.2627235502169
39,,,,,,,,4.941690467998327,137.61937697697698
40,,,,,,,,4.946451293884932,140.97603040373707
41,,,,,,,,4.951196847090458,144.33268383049716
42,,,,,,,,4.9559271383219885,147.68933725725725
43,,,,,,,,4.9606421782866095,151.04599068401734
44,,,,,,,,4.965341977691407,154.40264411077746
45,,,,,,,,4.970026547243467,157.75929753753755
46,,,,,,,,4.974695897649874,161.11595096429764
47,,,,,,,,4.979350039617715,164.47260439105773
48,,,,,,,,4.983988983854073,167.82925781781782
49,,,,,,,,4.988612741066036,171.1859112445779
50,,,,,,,,4.9932213219606885,174.542564671338
51,,,,,,,,4.997814737245117,177.8992180980981
52,,,,,,,,5.002392997626406,181.25587152485818
53,,,,,,,,5.006956113811642,184.6125249516183
54,,,,,,,,5.01150409650791,187.9691783783784
55,,,,,,,,5.016036956422295,191.32583180513848
56,,,,,,,,5.020554704261883,194.68248523189857
57,,,,,,,,5.0250573507337615,198.03913865865866
58,,,,,,,,5.029544906545013,201.39579208541875
59,,,,,,,,5.034017382402725,204.75244551217884
60,,,,,,,,5.038474789013983,208.10909893893896
61,,,,,,,,5.042917137085872,211.46575236569905
62,,,,,,,,5.047344437325477,214.82240579245914
63,,,,,,,,5.051756700439885,218.17905921921923
64,,,,,,,,5.05615393713618,221.53571264597932
65,,,,,,,,5.060536158121449,224.8923660727394
66,,,,,,,,5.064903374102777,228.2490194994995
67,,,,,,,,5.069255595787251,231.6056729262596
