,Unnamed: 0,LOCATION,TIME,USA_inflation_rate,time_close,BTC_closing_price,yfit,xfit
0,0.0,USA,2015-05-01,-0.03993275,2015-04-30 00:00:00+00:00,146.12,,
1,1.0,USA,2015-06-01,0.1237712,2015-05-31 00:00:00+00:00,153.06,,
2,2.0,USA,2015-07-01,0.1695698,2015-06-30 00:00:00+00:00,154.97,,
3,3.0,USA,2015-08-01,0.1950793,2015-07-31 00:00:00+00:00,181.00333333333333,,
4,4.0,USA,2015-09-01,-0.03612975,2015-08-31 00:00:00+00:00,162.85666666666663,,
5,5.0,USA,2015-10-01,0.1705744,2015-09-30 00:00:00+00:00,154.57666666666668,,
6,6.0,USA,2015-11-01,0.5017976,2015-10-31 00:00:00+00:00,172.75,,
7,7.0,USA,2015-12-01,0.7295198,2015-11-30 00:00:00+00:00,230.23666666666668,,
8,8.0,USA,2016-01-01,1.3730870000000002,2015-12-31 00:00:00+00:00,290.2266666666667,,
9,9.0,USA,2016-02-01,1.0178,2016-01-31 00:00:00+00:00,292.62333333333333,,
10,10.0,USA,2016-03-01,0.8525362,2016-02-29 00:00:00+00:00,274.18333333333334,,
11,11.0,USA,2016-04-01,1.12511,2016-03-31 00:00:00+00:00,289.38000000000005,,
12,12.0,USA,2016-05-01,1.019323,2016-04-30 00:00:00+00:00,309.3433333333333,,
13,13.0,USA,2016-06-01,0.9973265,2016-05-31 00:00:00+00:00,314.16333333333336,,
14,14.0,USA,2016-07-01,0.8271388000000001,2016-06-30 00:00:00+00:00,419.3966666666667,,
15,15.0,USA,2016-08-01,1.062875,2016-07-31 00:00:00+00:00,515.3733333333333,,
16,16.0,USA,2016-09-01,1.463784,2016-08-31 00:00:00+00:00,449.8475,,
17,17.0,USA,2016-10-01,1.635988,2016-09-30 00:00:00+00:00,472.71333333333337,,
18,18.0,USA,2016-11-01,1.692537,2016-10-31 00:00:00+00:00,532.6866666666666,,
19,19.0,USA,2016-12-01,2.074622,2016-11-30 00:00:00+00:00,598.0533333333334,,
20,20.0,USA,2017-01-01,2.500042,2016-12-31 00:00:00+00:00,686.7433333333332,,
21,21.0,USA,2017-02-01,2.7379580000000003,2017-01-31 00:00:00+00:00,738.9866666666667,,
