,Unnamed: 0,LOCATION,TIME,Japan_inflation_rate,time_close,BTC_closing_price,yfit,xfit
0,0.0,JPN,2015-05-01,0.5,2015-04-30 00:00:00+00:00,146.12,,
1,1.0,JPN,2015-06-01,0.4,2015-05-31 00:00:00+00:00,153.06,,
2,2.0,JPN,2015-07-01,0.2,2015-06-30 00:00:00+00:00,154.97,,
3,3.0,JPN,2015-08-01,0.2,2015-07-31 00:00:00+00:00,181.00333333333333,,
4,4.0,JPN,2015-09-01,0.0,2015-08-31 00:00:00+00:00,162.85666666666663,,
5,5.0,JPN,2015-10-01,0.3,2015-09-30 00:00:00+00:00,154.57666666666668,,
6,6.0,JPN,2015-11-01,0.3,2015-10-31 00:00:00+00:00,172.75,,
7,7.0,JPN,2015-12-01,0.2,2015-11-30 00:00:00+00:00,230.23666666666668,,
8,8.0,JPN,2016-01-01,-0.1,2015-12-31 00:00:00+00:00,290.2266666666667,,
9,9.0,JPN,2016-02-01,0.2,2016-01-31 00:00:00+00:00,292.62333333333333,,
10,10.0,JPN,2016-03-01,0.0,2016-02-29 00:00:00+00:00,274.18333333333334,,
11,11.0,JPN,2016-04-01,-0.3,2016-03-31 00:00:00+00:00,289.38000000000005,,
12,12.0,JPN,2016-05-01,-0.5,2016-04-30 00:00:00+00:00,309.3433333333333,,
13,13.0,JPN,2016-06-01,-0.4,2016-05-31 00:00:00+00:00,314.16333333333336,,
14,14.0,JPN,2016-07-01,-0.4,2016-06-30 00:00:00+00:00,419.3966666666667,,
15,15.0,JPN,2016-08-01,-0.5,2016-07-31 00:00:00+00:00,515.3733333333333,,
16,16.0,JPN,2016-09-01,-0.5,2016-08-31 00:00:00+00:00,449.8475,,
17,17.0,JPN,2016-10-01,0.1,2016-09-30 00:00:00+00:00,472.71333333333337,,
18,18.0,JPN,2016-11-01,0.5,2016-10-31 00:00:00+00:00,532.6866666666666,,
19,19.0,JPN,2016-12-01,0.3,2016-11-30 00:00:00+00:00,598.0533333333334,,
20,20.0,JPN,2017-01-01,0.4,2016-12-31 00:00:00+00:00,686.7433333333332,,
